TEXP (s),FREQ (fps),Erro (fps)
1.00E-05,2.00,2.30940101144421E-09
0.1,1.96,2.22279872029525E-09
0.2,1.92,0
0.3,1.89,2.05536700017939E-09
0.4,1.85,0
0.5,1.82,0
0.6,1.67,1.59926024978118E-09
0.7,1.43,0
0.8,1.25,9.00666366259782E-10
0.9,1.11,7.10140761663049E-10
1,1.00,5.76195577866628E-10
1.5,0.67,0
2,0.50,1.4433757923995E-10
2.5,0.40,9.23760507135682E-11
3,0.33,6.40858723627907E-11
3.5,0.29,4.73427003512066E-11
4,0.25,0
4.5,0.22,2.82901623260947E-11
5,0.20,0
5.5,0.18,1.96299235963878E-11
6,0.17,0
6.5,0.15,1.38564044021021E-11
